140;FORMAÇÃO DO PROFESSOR E CIÊNCIAS DA EDUCAÇÃO (CURSO GERAIS)
142;CIÊNCIAS DA EDUCAÇÃO
143;FORMAÇÃO DE PROFESSORES DE EDUCAÇÃO INFANTIL
144;FORMAÇÃO DE PROFESSORES DA EDUCAÇÃO BÁSICA
145;FORMAÇÃO DE PROFESSORES COM ESPECIALIZAÇÃO EM MATÉRIAS ESPECÍFICAS
146;FORMAÇÃO DE PROFESSORES DE DISCIPLINAS PROFISSIONAIS 
210;ARTES (CURSO GERAIS)
211;BELAS ARTES
212;MÚSICA E ARTES CÊNICAS
213;TÉCNICAS AUDIOVISUAIS E PRODUÇÃO DE MÍDIA
214;DESIGN E ESTILISMO
215;ARTESANATO
220;HUMANIDADES E LETRAS (CURSO GERAIS)
221;RELIGIÃO
222;LÍNGUAS E CULTURAS ESTRANGEIRAS
223;LÍNGUA MATERNA (VERNÁCULA)
225;HISTÓRIA E ARQUEOLOGIA
226;FILOSOFIA E ÉTICA
310;CIÊNCIAS SOCIAIS E COMPORTAMENTAIS (CURSOS GERAIS)
311;PSICOLOGIA
312;SOCIOLOGIA E ESTUDOS CULTURAIS
313;CIÊNCIA POLÍTICA E EDUCAÇÃO CÍVICA
314;ECONOMIA
321;JORNALISMO E REPORTAGEM
322;BIBLIOTECONOMIA, INFORMAÇÃO, ARQUIVOS
340;COMÉRCIO E ADMINISTRAÇÃO(CURSO GERAIS)
341;VENDAS EM ATACADO E VAREJO
342;MARKETING E PUBLICIDADE
343;FINANÇAS, BANCOS, SEGUROS
344;CONTABILIDADE E TRIBUTAÇÃO
345;GERENCIAMENTO E ADMINISTRAÇÃO
346;SECRETARIADO E TRABALHOS DE ESCRITÓRIO
347;VIDA PROFISSIONAL
380;DIREITO
420;CIÊNCIAS DA VIDA (CURSO GERAIS)
421;BIOLOGIA E BIOQUÍMICA
422;CIÊNCIAS AMBIENTAIS
440;CIÊNCIAS FÍSICAS (CURSO GERAIS)
441;FÍSICA
442;QUÍMICA
443;CIÊNCIA DA TERRA
461;MATEMÁTICA
462;ESTATÍSTICA
481;CIÊNCIA DA COMPUTAÇÃO
482;USO DO COMPUTADOR
483;PROCESSAMENTO DA INFORMAÇÃO
520;ENGENHARIA E PROFISSÕES DE ENGENHARIA (CURSOS GERAIS)
521;ENGENHARIA MECÂNICA E METALURGIA
522;ELETRICIDADE E ENERGIA
523;ELETRÔNICA E AUTOMAÇÃO
524;QUÍMICA E ENGENHARIA DE PROCESSOS
525;VEÍCULOS A MOTOR, CONSTRUÇÃO NAVAL E AERONÁUTICA           
540;FABRICAÇÃO E PROCESSAMENTO (CURSOS GERAIS)
541;PROCESSAMENTO DE ALIMENTOS
542;TÊXTEIS, ROUPAS, CALÇADOS, COURO
543;MATERIAIS (MADEIRA, PAPEL, PLÁSTICO, VIDRO)
544;MINERAÇÃO E EXTRAÇÃO
581;ARQUITETURA E URBANISMO
582;ENGENHARIA CIVIL E DE CONSTRUÇÃO
620;AGRICULTURA, SILVICULTURA, RECURSOS PESQUEIROS (CURSOS GERAIS)
621;PRODUÇÃO AGRÍCOLA E PECUÁRIA
622;HORTICULTURA
623;ENGENHARIA  FLORESTAL – SILVICULTURA
624;RECURSO PESQUEIROS
641;VETERINÁRIA
720;SAÚDE (CURSO GERAIS)
721;MEDICINA
723;ENFERMAGEM E ATENÇÃO PRIMÁRIA
724;ODONTOLOGIA
725;TECNOLOGIAS DE DIAGNÓSTICO E TRATAMENTO MÉDICO
726;TERAPIA E REABILITAÇÃO
727;FARMÁCIA
761;ATENDIMENTO À CRIANÇA E SERVIÇOS AOS JOVENS
762;SERVIÇO SOCIAL E ORIENTAÇÃO
810;SERVIÇOS A PARTICULARES (CURSO GERAIS)
811;HOTELARIA, RESTAURANTES E SERVIÇOS DE ALIMENTAÇÃO
812;VIAGENS, TURISMO E LAZER
813;ESPORTES
814;CIÊNCIAS DOMÉSTICAS
815;SERVIÇOS DE  BELEZA 
840;SERVIÇOS DE TRANSPORTES (CURSO GERAIS)
850;PROTEÇÃO AMBIENTAL (CURSO GERAIS)
851;TECNOLOGIA DE PROTEÇÃO AMBIENTAL
852;AMBIENTES NATURAIS E VIDA SELVAGEM
853;SERVIÇOS COMUNITÁRIOS DE  SANEAMENTO
860;SERVIÇOS DE SEGURANÇA (CURSO GERAIS)
861;PROTEÇÃO DE PESSOAS E PROPRIEDADES
862;SAÚDE E SEGURANÇA DO TRABALHO
863;SETOR MILITAR E DE DEFESA
085;NÃO SABE E SUPERIOR NÃO ESPECIFICADO
