142;CIÊNCIAS DA EDUCAÇÃO
145;FORMAÇÃO DE PROFESSORES COM ESPECIALIZAÇÃO EM MATÉRIAS ESPECÍFICAS
146;FORMAÇÃO DE PROFESSORES DE DISCIPLINAS PROFISSIONAIS 
210;ARTES (CURSO GERAIS)
211;BELAS ARTES
212;MÚSICA E ARTES CÊNICAS
213;TÉCNICAS AUDIOVISUAIS E PRODUÇÃO DE MÍDIA
214;DESIGN E ESTILISMO
215;ARTESANATO
220;HUMANIDADES E LETRAS (CURSO GERAIS)
221;RELIGIÃO
222;LÍNGUAS E CULTURAS ESTRANGEIRAS
223;LÍNGUA MATERNA (VERNÁCULA)
225;HISTÓRIA E ARQUEOLOGIA
226;FILOSOFIA E ÉTICA
310;CIÊNCIAS SOCIAIS E COMPORTAMENTAIS (CURSOS GERAIS)
311;PSICOLOGIA
312;SOCIOLOGIA E ESTUDOS CULTURAIS
313;CIÊNCIA POLÍTICA E EDUCAÇÃO CÍVICA
314;ECONOMIA
320;COMUNICAÇÃO (CURSOS GERAIS OU COMBINADOS)
321;JORNALISMO E REPORTAGEM
322;BIBLIOTECONOMIA, INFORMAÇÃO, ARQUIVOS
342;MARKETING E PUBLICIDADE
344;CONTABILIDADE E TRIBUTAÇÃO
345;GERENCIAMENTO E ADMINISTRAÇÃO
347;VIDA PROFISSIONAL
380;DIREITO
420;CIÊNCIAS DA VIDA (CURSO GERAIS)
421;BIOLOGIA E BIOQUÍMICA
422;CIÊNCIAS AMBIENTAIS
440;CIÊNCIAS FÍSICAS (CURSO GERAIS)
441;FÍSICA
442;QUÍMICA
443;CIÊNCIA DA TERRA
461;MATEMÁTICA
462;ESTATÍSTICA
481;CIÊNCIA DA COMPUTAÇÃO
483;INFORMATICA NA EDUCAÇÃO
520;ENGENHARIA E PROFISSÕES DE ENGENHARIA (CURSOS GERAIS)
521;ENGENHARIA MECÂNICA E METALURGIA
522;ELETRICIDADE E ENERGIA
523;ELETRÔNICA E AUTOMAÇÃO
524;QUÍMICA E ENGENHARIA DE PROCESSOS
525;VEÍCULOS A MOTOR, CONSTRUÇÃO NAVAL E AERONÁUTICA           
541;PROCESSAMENTO DE ALIMENTOS
543;MATERIAIS (MADEIRA, PAPEL, PLÁSTICO, VIDRO)
544;MINERAÇÃO E EXTRAÇÃO
554;RECURSOS MINERAIS
581;ARQUITETURA E URBANISMO
582;ENGENHARIA CIVIL E DE CONSTRUÇÃO
620;AGRICULTURA, SILVICULTURA, RECURSOS PESQUEIROS (CURSOS GERAIS)
621;PRODUÇÃO AGRÍCOLA E PECUÁRIA
622;HORTICULTURA
623;ENGENHARIA  FLORESTAL – SILVICULTURA
624;RECURSO PESQUEIROS
641;VETERINÁRIA
720;SAÚDE (CURSO GERAIS)
721;MEDICINA
723;ENFERMAGEM E ATENÇÃO PRIMÁRIA
724;ODONTOLOGIA
725;TECNOLOGIAS DE DIAGNÓSTICO E TRATAMENTO MÉDICO
726;TERAPIA E REABILITAÇÃO
727;FARMÁCIA
762;SERVIÇO SOCIAL E ORIENTAÇÃO
814;CIÊNCIAS DOMÉSTICAS
840;SERVIÇOS DE TRANSPORTES (CURSO GERAIS)
841;MEIOS ESPECÍFICOS DE TRANSPORTES
850;PROTEÇÃO AMBIENTAL (CURSO GERAIS)
851;TECNOLOGIA DE PROTEÇÃO AMBIENTAL
852;AMBIENTES NATURAIS E VIDA SELVAGEM
853;SERVIÇOS COMUNITÁRIOS DE  SANEAMENTO
861;PROTEÇÃO DE PESSOAS E PROPRIEDADES
862;SAÚDE E SEGURANÇA DO TRABALHO
863;SETOR MILITAR E DE DEFESA
097;NÃO SABE E DOUTORADO NÃO ESPECIFICADO
